,ID,URL,Titre,Chapeau,Description,Description de la date,Nom du lieu,Adresse du lieu,Code postal,Ville,Coordonnées géographiques,Type de prix,Type d'accès,audience,group,locale,Month_debut,Year_debut,Month_fin,Year_fin
426,68372,https://www.paris.fr/evenements/atelier-cine-plongee-dans-les-collections-de-plateforme-vod-les-yeux-doc-68372,Atelier : Ciné plongée dans les collections de la plateforme VOD Les Yeux Doc,"À l’occasion du Mois du doc, venez découvrir les trésors de la plateforme de cinéma documentaire Les Yeux Doc. Des centaines de films accessibles gratuitement grâce à votre abonnement en bibliothèque.","<p>Les
 bibliothécaires vous proposent une exploration des merveilles du cinéma
 documentaire contemporain – et moins contemporain - à travers une 
sélection d’extraits de films issus du catalogue de la plateforme VOD <strong>Les 
Yeux doc.</strong> Nous vous donnerons tous les conseils utiles pour vous 
approprier cette ressource numérique dédiée au cinéma documentaire et 
dont l’accès est gratuit grâce à votre abonnement en bibliothèque de la 
Ville de Paris.</p><p>Retrouvez plus de 400 films sur la plateforme <strong>Les Yeux doc</strong><strong> </strong><a href=""https://bibliotheques.paris.fr/cinema/nouveau-service-de-vod-les-yeux-docs.aspx"" target=""_blank"" title=""Ouverture dans un nouvel onglet"">en vous connectant sur le site des bibliothèques de la Ville de Paris.</a></p><p>Et pour la pour découvrir la programmation complète du Mois du doc, c'est par ici : <a href=""https://moisdudoc.com/"" target=""_blank"">https://moisdudoc.com/</a></p><p><em><strong>Nous vous proposons aussi deux autres actions dans le cadre du Mois du doc :<br></strong><a href=""https://www.paris.fr/evenements/atelier-ecrire-le-cinema-documentaire-68369"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet"">Atelier : Écrire le cinéma documentaire</a><strong><br></strong><a href=""https://www.paris.fr/evenements/projection-du-film-adieu-sauvage-de-sergio-guataquira-sarmiento-suivie-d-une-rencontre-avec-le-realisateur-68370"">Projection du film </a></em><a href=""https://www.paris.fr/evenements/projection-du-film-adieu-sauvage-de-sergio-guataquira-sarmiento-suivie-d-une-rencontre-avec-le-realisateur-68370"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet"">Adieu Sauvage</a> <em>de Sergio Guataquira Sarmiento, suivie d’une rencontre avec le réalisateur </em></p>",gratuit,Médiathèque Hélène Berr,70 rue de Picpus,75012,Paris,"48.8425409974728, 2.39747702255727",gratuit,non,Tout public.,Bibliothèques,fr,November,2024,November,2024
428,65833,https://www.paris.fr/evenements/blanche-neige-ou-la-chute-du-mur-de-berlin-compagnie-la-cordonnerie-65833,Blanche-Neige ou la chute du mur de Berlin - Compagnie La Cordonnerie,"Avec intelligence et magie, ce spectacle projette le célèbre conte pour enfants dans la banlieue parisienne en 1989. Mêlant théâtre, cinéma, bruitage et musique live, il réenchante notre réel à la lumière flamboyante du conte.","<p>Est-elle vraiment si mauvaise ? Cette <em>Blanche Neige</em> donne enfin la parole à la marâtre, à la méchante ! Dans l’espace exigu d’une cité HLM, Élisabeth tente d’élever seule sa belle-fille, Blanche. Mais la beauté et le caractère de l’adolescente sont aussi insolents l’un que l’autre… Filmés, doublés et bruités en direct, leurs vies et conflits se nouent à la marge de la grande histoire. Quelques mois avant la chute du mur de Berlin, vont-elles abolir celui qui les sépare ?</p><p>Le merveilleux est là, à portée de main, dans ce va-et-vient magique entre théâtre et cinéma, entre passé et présent.</p>",payant,L'Embarcadère,5 Rue Édouard Poisson,93300,Aubervilliers,"48.9104725, 2.38476100000003",payant,conseillée,"Public enfants, jeunes et adultes. A partir de 8 ans.",Aucun,fr,April,2025,April,2025
433,66554,https://www.paris.fr/evenements/la-laicite-un-modele-universel-ou-une-exception-francaise-samuel-mayol-66554,"""La laïcité : un modèle universel ou une exception française ?"" - Samuel Mayol","Conférence Cycle ""Laïcité"". Le mercredi 20 novembre à 19h au Patronage Laïque Jules Vallès.","<p>La laïcité, inscrite dans nos traditions depuis la Révolution, est au cœur de notre République. Ce principe est profondément ancré dans nos valeurs collectives. Être laïque aujourd’hui, c’est être dans la ligne droite des valeurs de la République, à savoir être universaliste, féministe et antiraciste. La laïcité est un socle, une colonne vertébrale sur laquelle s’appuient les principes de liberté, d’égalité et de fraternité. Et à ce titre, la laïcité est le meilleur rempart contre le racisme et la discrimination. Elle permet de garantir l’égalité de traitement de tous les citoyens et de lutter contre toutes les formes de stigmatisation ou de rejet. Mais ce modèle est-il universalisable, ou relève t'il d'une exception française ?</p><p><strong>Samuel Mayol </strong>est Docteur en Sciences de Gestion, Maître de Conférences à l’Université Sorbonne Paris-Nord, ancien directeur de l'IUT et directeur adjoint du LaRA-ICD (Laboratoire de Recherche Appliquée). Pour saluer son engagement en faveur de la laïcité, il a reçu en 2015, le prix national de la Laïcité remis par le Comité Laïcité République.</p><p>Entrée libre sur réservation.</p>",gratuit,Le Patronage Laïque Jules-Vallès,72 avenue Félix Faure,75015,Paris,"48.8400739938207, 2.28506396631013",gratuit,obligatoire,Tout public.,Centres d'animations,fr,November,2024,November,2024
434,70161,https://www.paris.fr/evenements/nihaolloween-murder-on-the-orient-express-70161,NIHAOLLOWEEN : MURDER ON THE ORIENT EXPRESS,Dragshow - NIHAOLLOWEEN : MURDER ON THE ORIENT EXPRESS,"<p>NiHao-lloween une soirée d'Halloween qui sera plus fabuleusement effrayante que jamais ! Les Rice Queers, connues pour leurs performances à couper le souffle et leur sens de style, vous invitent à une fête qui fera trembler les esprits… de rire<strong> </strong>! 🎃</p><p>👻 Code vestimentaire :<br><strong>Laissez-vous inspirer par les cauchemars ou les créatures mythiques !</strong></p><p>Sortez vos costumes les plus extra et éblouissants pour cette nuit de terreur. Que vous optiez pour un look effrayant, glamour, ou un mélange des deux, laissez votre imagination s'exprimer.</p><p><strong>Des robes somptueuses aux maquillages époustouflants, tout est permis !</strong></p><p>♨️ <strong><a href=""https://www.instagram.com/aaliyahxpress/"" target=""_blank"">Aaliyah Xpress</a></strong><br>⚡️<strong><a href=""https://www.instagram.com/calypsooverkill/"" target=""_blank"">Calypso Overkill</a></strong><br>🎭 <a href=""https://www.instagram.com/chinack_did_it/"" target=""_blank""><strong>Chinack La Fey</strong></a><br>🐉 <a href=""http://www.instagram.com/levo_evolove"" target=""_blank""><strong>LEVO</strong></a><a href=""http://www.instagram.com/levo_evolove"" target=""_blank""> <strong>Evolove</strong></a><br>🍬 <strong><a href=""https://www.instagram.com/lily.pinz/"" target=""_blank"">Lily Pinz</a></strong><br>🎵 <a href=""https://www.instagram.com/madame_wasabi/"" target=""_blank""><strong>Madame Wasabi</strong></a><br>🐲<strong><a href=""https://www.instagram.com/egon_centrik/"" target=""_blank"">Egon Centrik </a></strong></p>",payant,Le Hasard Ludique,128 Avenue de Saint-Ouen,75018,Paris,"48.8957040146439, 2.32851600382872",payant,conseillée,Tout public.,Agenda,fr,October,2024,October,2024
435,49254,https://www.paris.fr/evenements/en-sortant-de-l-ecole-10-ans-de-poesie-animee-exposition-49254,"En sortant de l'école, 10 ans de poésie animée : exposition et projections",Exposition sur les dessous de la création de cette série de courts métrages d'animation qui met la poésie à l'honneur,"<h2>En sortant de l'école</h2><p><strong>Une collection de courts-métrages animés se proposant d’associer librement mais talentueusement
 des poèmes à l’univers graphique de jeunes réalisateurs.</strong></p><p>Co-produite depuis 2013 par Tant Mieux Prod et France Télévisions pour une diffusion en
 mars à l’occasion du Printemps des poètes dans la case Ludo sur France 3, <em>En sortant de l’école</em> est la seule collection dédiée à la poésie.</p><p>Cette collection de courts métrages patrimoniaux et atypiques fait entendre et rend sensible aux enfants la poésie française.</p><p>Chaque saison associe, dans la liberté artistique la plus exigeante, 13 poèmes à l’univers graphique de 13 jeunes réalisatrices et réalisateurs tout juste sortis des écoles d’animation française aussi diverses que la Poudrière, les Gobelins, l’ENSAD, l’EMCA, l’Atelier de Sèvres, l’ESAAT, Supinfocom…</p><p><strong><br>
</strong>Tout en
prenant le temps d’admirer plus en détails la richesse des décors originaux ,
les spectateurs en apprendront davantage sur les différentes étapes et
techniques de fabrication du film d’animation grâce aux différents documents
mis à leur disposition.</p><p>En savoir plus <a href=""https://www.tantmieuxprod.net/fran%C3%A7ais/en-sortant-de-l-%C3%A9cole/"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet"">ici</a></p><h2>L'exposition</h2><p>L’exposition présente à la fois des éléments issus des films (décors, feuilles d’animation, personnages…) et des éléments fabriqués en amont, pendant la phase de recherche (storyboards, esquisses, carnets de croquis…).</p><p>La phase de développement des films d’animation est en effet souvent très riche en recherches peintes et dessinées. Elles permettent de trouver l’ambiance, les couleurs et l’atmosphère générale du film. Quant aux films, s’ils utilisent tous des techniques numériques, ils sont aussi faits en partie à la main à l’aide de matières, mediums et techniques artisanales. Ce sont ces originaux qui vous sont proposés dans cette exposition pour célébrer les 10 ans du programme <em>En sortant de l’école</em>.</p><h2>Les projections</h2><p><strong>Vive
l'insolence (13 films - 45 min)</strong></p><p>Depuis 2014, les collections <em>En sortant de l'école</em> proposent
d'associer librement mais talentueusement des poèmes à l'univers graphique de
jeunes réalisateurs. L'objectif est double : offrir à de jeunes talents
l'occasion de réaliser un premier film professionnel, et rendre accessible aux
enfants l'univers et les mots de nos poètes.</p><p>Dans cette sélection, nous mettons à l'honneur
les petits et grands rebelles en compagnie de<strong> Jacques Prévert, Claude
Roy, Guillaume Apollinaire, Jean Tardieu, Andrée Chedid, Paul Verlaine et Jean
de la Fontaine.</strong></p><p><strong>Mercredi 16 octobre, à 15h.</strong></p><p><strong>École Buissonnière (13 films - 45 min)</strong></p><p>Dans cette sélection intitulée <em>École
Buissonnière</em>, nous vous invitons à prendre les chemins de traverse en
compagnie de <strong>Jacques Prévert, Robert Desnos, Guillaume Apollinaire, Jean
Tardieu, Paul Verlaine et Andrée Chedid.</strong></p><p><strong>Vendredi 8 novembre, à 18h30. </strong></p><h2>L'atelier</h2><p><strong>Atelier flip book</strong></p><p>Un atelier pour créer son propre flip book et découvrir différentes techniques autour des films d'animation. Il n'est pas nécessaire de savoir ""bien"" dessiner. L'animation, ça passe par l'expérimentation !</p><p><strong>Samedi 12 octobre, à 14h. </strong></p><p><strong>A partir de 8 ans, sur inscription.</strong><br></p>",gratuit,Médiathèque Marguerite Duras,"115, rue de Bagnolet",75020,Paris,"48.8598389825131, 2.40322700813562",gratuit,non,Tout public.,Bibliothèques,fr,October,2024,November,2024
437,70246,https://www.paris.fr/evenements/les-frontieres-sont-des-animaux-nocturnes-sienos-yra-naktiniai-gyvunai-70246,Les Frontières sont des animaux nocturnes / Sienos yra naktiniai gyvunai,"Les Frontières sont des animaux nocturnes / Sienos yra naktiniai gyvunai présente des artistes originaires de Lituanies de plusieurs générations ainsi qu’un collectif réunissant acteurs et actrices culturels issus des pays dits “post-socialistes”, dont certains membres sont basés en région parisienne.","<p>Vernissage à KADIST Paris le vendredi 11 octobre 2024 de 16h à 21h — 19bis/21 rue des Trois Frères, 75018 Paris</p><p><strong>Commissaires</strong><br>Neringa Bumblienė &amp; Émilie Villez</p><p><strong>Artistes</strong><br>Andrius Arutiunian, Beyond the post-soviet, Danylo Halkin, Agnė Jokšė, Deimantas Narkevičius, Marija Olšauskaitė, Algirdas Šeškus, Emilija Škarnulytė, Anastasia Sosunova, Nomeda and Gediminas Urbonas, Anna Zvyagintseva</p><p>Deux ans après le début de l’invasion, quelle normalité est encore possible dans la zone de conflit, alors que nous assistons à une répétition de l’histoire ? En utilisant les formes, l’imaginaire et la poésie comme outils politiques, l’exposition tisse un fil fragile entre des histoires coloniales complexes, la diversité des réalités d’aujourd’hui et la nécessité de créer des visions pour l’avenir.</p><p>Le titre de l’exposition fait référence à l’essai de Luba Jurgenson, <em>Quand nous nous sommes réveillés. Nuit du 24 février 2022 : invasion de l’Ukraine</em> (Verdier, 2023) : « Les frontières sont des animaux nocturnes, elles bougent pendant que nous dormons. Il faudrait toujours veiller. »</p><p>« Les Frontières sont des animaux nocturnes / Sienos yra naktiniai gyvūnai » est un projet co-organisé par le Palais de Tokyo à Paris, KADIST Paris et le Centre d’art contemporain de Vilnius à l’occasion de la <a href=""https://saisonlituanie.com/"">Saison de la Lituanie en France</a> 2024. L’exposition est présentée simultanément au <a href=""https://palaisdetokyo.com/"">Palais de Tokyo</a> et à KADIST Paris, à l’automne 2024. Une version finale aura lieu au <a href=""https://cac.lt/"">Centre d’Art Contemporain de Vilnius</a> en 2025.</p><p><strong><em>Les Frontières sont des animaux nocturnes / Sienos yra naktiniai gyvūnai</em></strong></p><p>12 octobre 2024–5 janvier 2025</p><p>En collaboration avec le <a href=""https://palaisdetokyo.com/"">Palais de Tokyo</a> et le <a href=""https://cac.lt/"">Centre d’Art Contemporain de Vilnius</a> dans le cadre de la <a href=""https://saisonlituanie.com/"">Saison de la Lituanie en France 2024</a></p><p>Exposition à KADIST Paris du 12 octobre 2024 au 4 janvier 2025 (vernissage le vendredi 11 octobre 2024).</p><p>Exposition au Palais de Tokyo du 17 octobre 2024 au 5 janvier 2025 (vernissage le mercredi 16 octobre 2024).</p><figure aria-label="" ; Image :  ; Crédits : Logo Saison de la Lituanie 2024"">
  <img src=""https://cdn.paris.fr/qfapv4/2024/10/07/original-5170ca8d30fe5362cc3bd82008133c06.png"" alt="""">
  <figcaption> ; Crédits : Logo Saison de la Lituanie 2024</figcaption>
</figure>
<figure aria-label="" ; Image :  ; Crédits : Partenaires Saison de la Lituanie 2024"">
  <img src=""https://cdn.paris.fr/qfapv4/2024/10/07/original-fbbe2e43be1e1d953f930d23c310f395.png"" alt="""">
  <figcaption> ; Crédits : Partenaires Saison de la Lituanie 2024</figcaption>
</figure>",gratuit,KADIST,21 rue des Trois Frères,75018,Paris,"48.856578, 2.351828",gratuit,non,Tout public.,Aucun,fr,October,2024,January,2025
438,62293,https://www.paris.fr/evenements/la-baignade-en-seine-toute-une-histoire-au-musee-des-egouts-de-paris-62293,« La baignade en Seine : toute une histoire » au musée des égouts de Paris,"Comment se baignait-on dans la Seine ? Pourquoi cette pratique a-t-elle progressivement disparue ? Quel est le lien entre assainissement, qualité de l’eau et baignabilité ? Découvrez la nouvelle exposition « La baignade en Seine : toute une histoire » au musée des égouts de Paris.","<p>L’exposition La baignade en Seine, toute une histoire ! apportera des réponses à toutes ces questions, revenant sur trois siècles de fréquentation et d’interrogations autour du fleuve à travers des axes clés : la réglementation du droit à la baignade, les pratiques sociales observées depuis le XVIIe siècle et enfin les actions menées par les pouvoirs publics pour réaliser le rêve de plonger à nouveau dans la Seine.</p><p>Clin d’œil à Paris, capitale de la mode, l’exposition présente également les tenues de bains imaginées au fil du temps et des pratiques.</p><h2>A l'eau depuis le XVIIe siècle</h2><p>Pour des raisons hygiéniques, récréatives ou encore sportives, les baigneurs et baigneuses de toutes les époques ont façonné l’histoire du fleuve. À l’intérieur ou à l’extérieur de Paris, de « pleine-eau », ou encore au sein d’établissements de bains, c’est toute une organisation sociale mais aussi sociétale qui se dévoile au travers de cette activité.</p><h2>L'abandon progressif</h2><p>L’histoire de la baignade en Seine ne peut s’écrire sans ses innombrables réglementations. Pour protéger la population, entre le XVIIe et le XXe siècle, les ordonnances interdisent progressivement la baignade dans Paris pour des questions de sécurité. La baignade se pratique alors en dehors de la capitale, avant d’être totalement interdite en 1923.</p><h2>Piquer une tête dans la Seine</h2><p>À partir des années 1970, face à la croissance démographique, la région parisienne doit augmenter ses capacités de traitement d’eaux usées. Vingt ans plus tard, l’Union européenne s’intéresse aux questions environnementales et la qualité de la Seine devient un véritable sujet politique. Grâce aux efforts menés depuis plus de cinquante ans, il est désormais possible d’envisager des épreuves Olympiques et Paralympiques ainsi que des baigneurs et baigneuses dans la Seine.</p><section>
  <h2></h2>
  <p>Le Musée vous propose des visites guidées, sur réservation ou libre, individuelles, groupées ou en famille, ainsi que des ateliers pédagogiques à destination des 7- 12 ans. La visite est accessible aux personnes à mobilité réduite, elle peut s’effectuer en fauteuil roulant (présence d’un ascenseur). Il est obligatoire pour les personnes souffrant d’un handicap visuel d’être accompagnées.</p>
</section>",payant,Musée des égouts de Paris,Pont de l'Alma,75007,Paris,"48.8629499482688, 2.30180011238056",payant,conseillée,Tout public.,Aucun,fr,July,2024,January,2025
439,63240,https://www.paris.fr/evenements/le-surrealisme-l-exposition-du-centenaire-au-centre-pompidou-63240,Que vaut vraiment « Le surréalisme - L'exposition du centenaire » au Centre Pompidou ?,"Retraçant plus de quarante années d'une exceptionnelle effervescence créative, de 1924 à 1969, « Le surréalisme. L'exposition du centenaire » célèbre l'anniversaire du mouvement, né en 1924 avec la publication du Manifeste fondateur d'André Breton.","<h2>De quoi ça parle ?</h2><p>Conçue à la façon d’un labyrinthe, l’exposition rayonne autour d’un « tambour » central abritant le manuscrit original du Manifeste, prêt exceptionnel de la Bibliothèque nationale de France. Une projection multimédia accompagne la découverte de ce document unique, éclairant sa genèse et son sens. À la fois chronologique et thématique, le parcours de l'exposition est rythmé par 14 chapitres évoquant les figures littéraires ayant inspiré le mouvement (Lautréamont, Lewis Carroll, Sade…) et les principes poétiques qui structurent son imaginaire (l'artiste-médium, le rêve, la pierre philosophale, la forêt…).</p><p>Fidèle au principe de pluridisciplinarité qui caractérise les expositions du Centre Pompidou, « Le surréalisme. L'exposition du centenaire », associe peintures, dessins, films, photographies et documents littéraires. L’exposition présente les œuvres emblématiques du mouvement, issues des principales collections publiques et privées internationales : Le Grand Masturbateur de Salvador Dalí (Musée Reina Sofía), Les Valeurs personnelles de René Magritte (Musée d'art moderne de San Francisco), Le Cerveau de l’enfant (Moderna Museet de Stockholm) et le Chant d’amour (MoMA de New York) de Giorgio de Chirico, La Grande Forêt de Max Ernst (Musée de Bâle), Chien aboyant à la lune de Joan Miró (Philadelphia Museum of Art), etc.</p><h2>L’avis de la rédaction</h2><p>C’est un vent de fraîcheur qui déferle sur le Centre Pompidou (Paris Centre) ! Vingt-deux ans après sa dernière rétrospective consacrée au surréalisme, c’est avec une approche beaucoup plus inclusive que le lieu dépoussière le sujet. Longtemps associé à une poignée d’hommes européens, le mouvement artistique et intellectuel mené par André Breton s’ouvre cette fois aux artistes femmes (Dora Maar, Leonora Carrington, Dorothea Tanning), à ceux venus du monde entier (Rufino Tamayo, Tatsuo Ideka), mais aussi à des noms moins connus. Un regard novateur qui permet de se défaire du prisme masculin, de réhabiliter les grand(e)s oublié(e)s de l’art mais aussi d’ausculter l’immensité du surréalisme avec davantage de justesse.</p><h3>Un voyage au pays des rêves, des mères et des territoires mystérieux du cosmos…</h3><p>Car ce qui est certain, c’est que pendant quarante ans, les artistes surréalistes se sont appliqués à bousculer les codes, à repousser les limites de la création, à balader leurs inspirations vers des horizons jusqu’alors inexplorés et à pluraliser les supports et les techniques d’expression d’une manière tout à fait inédite. Une production prolifique que le centre culturel nous invite à (re)découvrir sous la forme d’un grand labyrinthe, fragmenté en quatorze chapitres.</p><p>On voyage ainsi dans le pays des rêves, le royaume des mères, les profondeurs de la forêt ou encore les territoires mystérieux du cosmos. Une aventure magique au cours de laquelle vous risquez de croiser quelques monstres, des personnages mythologiques, des hommes en proie aux métamorphoses et des corps désarticulés. Vous voilà prévenus !</p><p>Et à l’image d’une Alice au pays des merveilles chère aux surréalistes, c’est finalement avec malice que l’on s’amuse à perdre volontairement notre chemin…</p>",payant,Centre Pompidou,Place Georges Pompidou,75004,Paris,"48.8606190862416, 2.35130895504322",payant,obligatoire,Tout public.,Aucun,fr,September,2024,January,2025
440,67714,https://www.paris.fr/evenements/spectacle-et-puis-s-en-va-l-album-pour-de-vrai-67714,Spectacle Et puis s’en va : l’album pour de vrai,"Découvrez un livre comme vous ne l’avez jamais vu !

Plongez dans Et Puis s’en va, l’album pour de vrai et venez découvrir cet univers musical et partez en voyage au pays des émotions avec ce spectacle pour les tout-petits !","<p>""Ce livre-CD, créé et produit par la compagnie 
<a href=""https://theatredelautrecote.fr/et-puis-sen-va-lalbum-pour-de-vrai/"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet"">Le Théâtre de l’Autre côté</a>, nous parle de quête intérieure, du lien 
nécessaire avec les autres par le regard et de la <strong>fabrique de l’émotion</strong>.
 Guidé.es par une danseuse conteuse, vous explorerez la forêt psyché et 
rencontrerez vos Amimotions, ces amies que sont vos émotions.</p><p>Chaque famille repartira avec son livre pour prolonger l’expérience chez soi.""</p><p>La danseuse-conteuse : Adeline Reynes, Clothilde Fortin et Iris Mirnezami — En alternance <br>

Conception scénographie et mise en scène : Valérie Fernandez <br>

Costume et accessoires : Valérie Fernandez, accompagnée par Delphine 
Sekulak -Collectif Metalu à Chahuter avec la complicité de Clothilde 
Fortin et d’Adeline Reynes. <br>

Bande sonore issue de l’album musical Et Puis s’en va : composition William Herremy Illustrations : Sidonie Rocher Texte : Valérie Fernandez. <br>

Montage son : Anaïs Joubert<br></p>",gratuit,Bibliothèque Václav Havel,26 esplanade Nathalie Sarraute,75018,Paris,"48.8890750188795, 2.36299999168281",gratuit,conseillée,Public tout-petits.,Bibliothèques,fr,November,2024,November,2024
441,65437,https://www.paris.fr/evenements/copie-de-atelier-a-la-decouverte-de-l-opera-de-pekin-65437,atelier A la découverte de l'opéra de Pékin 6-9 ans,Une activité culturelle et artistique organisée par l'association LinguiSt'art,<p>Une présentation ludique de l'univers fantastique de l'Opéra de Pékin et une explication de la signification des couleurs dans l'Opéra de Pékin</p><p>Un atelier créatif de fabrication d'un masque aux visages multiples</p><p>sur inscription pour les enfants de 4 à 6 ans de 14h à 15h30 puis pour les enfants à partir de 6 ans de 16h à 17h30</p>,gratuit,Médiathèque Jean-Pierre Melville,79 rue Nationale,75013,Paris,"48.826787000907, 2.36644000856506",gratuit,obligatoire,Public enfants. A partir de 6 ans.,Bibliothèques,fr,November,2024,November,2024
444,68649,https://www.paris.fr/evenements/petits-contes-de-betes-pas-si-betes-a-la-bibliotheque-claire-bretecher-68649,Petits contes de bêtes pas si bêtes à la bibliothèque Claire Bretécher,"Venant de cette tradition millénaire des conteurs, Hamed Bouzzine est enfant d’Ulysse, de Sindbad, 
de Shéhérazade et des chanteurs de ""blues"" de cette planète.","<p>C'est à des princes que je raconte cette histoire.</p><p>Cette histoire se passe il y a très longtemps,</p><p>Du temps où l'homme n'était pas encore l'homme .</p><p>En ce temps-là, il se passait des choses très très étranges,</p><p>Du temps où les animaux parlaient et les hommes étaient muets,</p><p>En ce temps-là, le jour était la nuit et la nuit était le jour.</p>",gratuit,Bibliothèque Claire Bretécher,11 rue de Lancry,75010,Paris,"48.869387, 2.360108",gratuit,obligatoire,Public enfants. A partir de 4 ans.,Bibliothèques,fr,December,2024,December,2024
445,68694,https://www.paris.fr/evenements/halloween-intergalactique-a-la-dame-de-canton-68694,Halloween Intergalactique à La Dame de Canton,Halloween Intergalactique : Le Voyage Funkorrifique de Cobra Fantastic à La Dame de Canton.,"<p>Préparez-vous à voir vos esprits liquéfiés et vos âmes funkifiées — Cobra Fantastic, venu tout droit de la planète 9, débarque à Paris pour leur concert cosmique, le Halloween Intergalactique ! Cet événement interstellaire aura lieu à La Dame de Canton, temple flottant des sons groovistiques, amarré sur les rives de la Seine.</p><p>Cobra Fantastic, le groupe de funk intergalactique le plus célèbre de l'univers, a traversé des années-lumière pour partager son évangile funkorrifique avec les Terriens. Connus dans toute la galaxie pour leur pouvoir à funkabopuler des systèmes entiers, leurs lignes de basse pulsantes et leurs riffs intergalactiques sont légendaires pour transformer même les créatures les plus rigides en dynamoïdes de la piste de danse. Leur mission est simple mais universelle : répandre le funk à travers les galaxies, unir les êtres sous la bannière du groove, et vaporiser les tracas de l'existence avec des explosions soniques de pure énergie funkatonique.</p><p>Une Nuit de Liquéfaction Mentale et de Voyage Funkadelique</p><p>Le soir d’Halloween, La Dame de Canton se transformera en vaisseau-mère de béatitude intergalactique alors que Cobra Fantastic se connectera à leurs plus hautes vibro-fréquences. Attendez-vous à des ondes synthétiques saturantes d’âme, des lignes de basse en orbite autour de vos pensées, et des riffs plus aiguisés qu'une pluie de météorites, tout cela pour vous offrir une expérience transcendant le groove.</p><p>Le groupe interprétera ses plus grands succès comme « 2 Funky 4 U », « Take a Ride to Planet 9 », et le classique du public « My Heart is Like a Giant Monster Robot », chaque morceau étant plus funkorrifique que le précédent. La légende raconte que leurs performances en direct peuvent provoquer une téléportation spontanée vers la Funkosphère, une dimension de rythme pur et d'extase funkatonique.</p><p>Venez en Costume Intergalactique</p><p>Ce n’est pas un simple concert — Halloween Intergalactique vous invite à incarner l’esprit de la funkitude cosmique. Sortez vos bottes spatiales, enfilez vos tenues les plus extraterrestres et préparez-vous à décoller pour une nuit de pure freakadelia. Serez-vous un maître groovien martien ou un chanteur d'âme saturnien ? Le cosmos est votre seule limite !</p><p>Préparez-vous à vous perdre dans le groove alors que Cobra Fantastic transforme cet Halloween en une célébration d'une ampleur cosmique. Les esprits seront fondus, les vibes élevées, et la funkabopulation triomphera. Attachez vos ceintures, Terriens — cette nuit sera funkastique et gravée dans vos mémoires!</p><p>Dj set avec Willy Wizz à partir de 23H15</p>",payant,La Dame de Canton,Quai François Mauriac,75013,Paris,"48.8337007097739, 2.37785419904316",payant,obligatoire,Tout public.,Aucun,fr,October,2024,November,2024
446,68701,https://www.paris.fr/evenements/griffith-gillespie-quintet-a-la-peniche-marcounet-68701,Griffith-Gillespie Quintet à la Peniche Marcounet,5 Jazzmen pour 5 fois plus de swing au Marcounet !,"<p>Le saxophoniste et flûtiste américain Oliver Griffith invite le trompettiste Larry Gillespie, ancien membre des groupes de Ray Charles et Woody Herman, pour un programme contrastant le Cool Jazz et le Hard Bop. Le Cool Jazz a émergé dans les années 50 sur la côte ouest des États-Unis, porté par des musiciens tels que Chet Baker, Stan Getz, Dave Brubeck et Gerry Mulligan. Il se distingue par des tempos détendus et des arrangements incluant des contrepoints. En opposition, le Hard Bop de la côte est, joué par des musiciens tels que Art Blakey, Horace Silver et Hank Mobley, et influencé par le rhythm and blues et le gospel, est souvent plus rapide et énergétique.</p><p>Accompagnés de Jean-Pascal Devailly au piano, Alain Broda à la basse, et Patrick Goujon à la batterie.</p>",payant,Peniche Marcounet,14 Quai de l'Hôtel de ville,75004,Paris,"48.8530857, 2.3573881",payant,obligatoire,Tout public.,Aucun,fr,December,2024,December,2024
